State,State_FIPS,Year,Total_Pop_25_Plus,Edu_12th_No_Diploma,Edu_HS_GED_or_Equiv,Edu_Some_College_Less_1_Year,Edu_Some_College_1_Plus_Year,Edu_Associates_Degree,Edu_Bachelors_Degree,Edu_Masters_Degree,Edu_Professional_Degree,Edu_Doctorate_Degree,HS_Grad_or_Higher_Count,HS_Grad_or_Higher_Pct,Avg Annual Total Civilian Non-Institutional Population in State/Area,Avg Annual Total Civilian Labor Force in State/Area,Avg Annual Total Employment in State/Area,Avg Annual Total Unemployment in State/Area,Annual Percent (%) of Unemployed in State/Area,Annual Percent (%) of Labor Force Population,Annual Percent (%) of Total Employment in State/Area
Washington,53,2015,4889314,77546,1127649,365062,806079,471400,1059707,435599,101103,74484,4441083,90.83,5619383,3555226,3362234,192993,5.43,63.27,59.83
West Virginia,54,2015,1300347,16329,529290,76061,168448,90019,152256,74951,15674,11533,1118232,85.99,1480493,791618,739530,52088,6.58,53.47,49.95
Wisconsin,55,2015,3918997,61826,1223628,270878,565089,411400,742544,265265,60698,43951,3583453,91.44,4545552,3084138,2947649,136489,4.43,67.85,64.85
Wyoming,56,2015,388747,6233,111830,31095,71151,42212,67108,25746,5441,3739,358322,92.17,451235,301677,288927,12750,4.23,66.86,64.03
Alabama,1,2015,3282252,57858,1018063,194514,513465,266452,504626,207767,47504,32979,2785370,84.86,3799373,2152498,2020763,131734,6.12,56.65,53.19
Alaska,2,2015,469523,6650,128052,34279,95047,38113,87869,36260,10814,4473,434907,92.63,542685,362329,339579,22750,6.28,66.77,62.57
Arizona,4,2015,4536954,94156,1110871,340471,815084,382106,788933,339377,74683,54456,3905981,86.09,5276145,3185087,2991341,193746,6.08,60.37,56.7
Arkansas,5,2015,1987819,33868,678452,137365,313521,135029,278975,109389,25259,19758,1697748,85.41,2299074,1339408,1273049,66360,4.95,58.26,55.37
California,6,2015,26085263,658767,5430081,1482236,4121043,1992703,5285754,2116434,593576,419926,21441753,82.2,30283673,18824855,17649562,1175293,6.24,62.16,58.28
Colorado,8,2015,3671853,49679,796984,231893,577144,301203,909032,390965,81730,59049,3348000,91.18,4233776,2825937,2720564,105373,3.73,66.75,64.26
Delaware,10,2015,652636,10719,194810,41122,89864,52556,117581,60228,13582,10538,580281,88.91,746043,462844,440696,22148,4.79,62.04,59.07
District of Columbia,11,2015,472884,5100,82181,15015,45092,14002,112629,97445,37729,20542,424635,89.8,557243,388407,361556,26851,6.91,69.7,64.88
Connecticut,9,2015,2474718,33843,678916,123572,293948,187970,535933,301008,69842,41261,2232450,90.21,2872222,1892067,1785889,106177,5.61,65.87,62.18
Florida,12,2015,14394281,291098,4201879,903064,2032183,1383565,2620339,1012174,290401,169424,12613029,87.63,16266345,9640779,9108453,532327,5.52,59.27,56.0
Georgia,13,2015,6683767,117111,1879302,368782,1013826,496008,1244449,534649,132042,88973,5758031,86.15,7762111,4734597,4447352,287244,6.07,61.0,57.3
Idaho,16,2015,1065982,17715,292667,90923,196662,102284,189566,60161,15330,11855,959448,90.01,1246558,794897,764107,30790,3.87,63.77,61.3
Hawaii,15,2015,985914,12292,267568,55400,157806,105951,205033,66761,24187,13213,895919,90.87,1086642,670625,647696,22930,3.42,61.72,59.61
Illinois,17,2015,8661938,144233,2314192,569835,1234767,698002,1757697,803408,184590,107845,7670336,88.55,10052540,6512987,6121667,391320,6.01,64.79,60.9
Indiana,18,2015,4363573,68298,1496775,288014,612386,364142,697223,286021,61351,43525,3849437,88.22,5117280,3266935,3110406,156528,4.79,63.84,60.78
Iowa,19,2015,2074504,25576,664912,152488,292120,236728,377035,124708,33674,21174,1902839,91.73,2431480,1700631,1637625,63006,3.7,69.94,67.35
Kansas,20,2015,1888479,24135,501278,155741,290335,158308,384495,157694,33557,23317,1704725,90.27,2204743,1493864,1431795,62069,4.15,67.76,64.94
Kentucky,21,2015,2988790,40833,1002541,197430,413620,235061,406865,207579,52767,28963,2544826,85.15,3443534,1979617,1876194,103423,5.22,57.49,54.48
Louisiana,22,2015,3095255,49516,1056533,161496,492715,189683,470739,170535,49216,27568,2618485,84.6,3568063,2150739,2015528,135210,6.29,60.28,56.49
Maine,23,2015,961240,9750,314332,58358,126063,93335,187513,71715,18480,11845,881641,91.72,1091324,687901,657691,30210,4.39,63.03,60.27
Maryland,24,2015,4102486,63315,1029325,241562,547820,266499,866352,505272,112754,107236,3676820,89.62,4697561,3140166,2983591,156575,4.99,66.85,63.51
Massachusetts,25,2015,4706644,66517,1184423,227193,521512,362478,1086715,601150,135323,128501,4247295,90.24,5504919,3590196,3418325,171871,4.79,65.22,62.1
Michigan,26,2015,6728347,102425,1979472,510771,1082642,622089,1145546,535769,111288,77870,6065447,90.15,7884087,4760774,4502705,258068,5.42,60.38,57.11
Minnesota,27,2015,3700935,46282,941170,254968,539531,413953,847584,305569,78232,52622,3433629,92.78,4282726,3005811,2892147,113664,3.78,70.18,67.53
Mississippi,28,2016,1957022,42646,603335,111813,327182,177695,264865,113113,27550,20735,1646288,84.12,2285176,1272081,1196124,75956,5.97,55.67,52.34
Missouri,29,2016,4121014,59827,1265386,297778,630017,325244,729511,324191,70157,48791,3691075,89.57,4755612,3072731,2933058,139672,4.55,64.61,61.68
Montana,30,2016,712616,9394,206415,46019,122204,66134,148944,48718,14909,8035,661378,92.81,824042,521801,499299,22501,4.31,63.32,60.59
Nebraska,31,2016,1243820,15968,328348,88321,193039,129795,261931,90070,22938,16033,1130475,90.89,1452381,1016064,984889,31174,3.07,69.96,67.81
Nevada,32,2016,2010610,46996,585057,150003,366900,156342,308547,114345,32605,16278,1730077,86.05,2279404,1414406,1332376,82029,5.8,62.05,58.45
New Hampshire,33,2016,947586,11193,256245,57739,121538,97488,213461,101003,19392,12822,879688,92.83,1097720,752466,730872,21594,2.87,68.55,66.58
New Jersey,34,2016,6171172,104122,1706073,302184,722105,400332,1460518,670786,153171,95327,5510496,89.29,7030112,4493227,4271301,221926,4.94,63.91,60.76
New Mexico,35,2016,1391381,23186,370508,85075,237950,116674,215691,116006,22128,24408,1188440,85.41,1617770,944335,880426,63908,6.77,58.37,54.42
New York,36,2016,13653592,305134,3574814,637569,1513289,1191816,2749619,1521940,391676,204577,11785300,86.32,15729054,9528079,9063225,464855,4.88,60.58,57.62
North Carolina,37,2016,6877185,93264,1775886,439327,1042804,654866,1345615,543876,114036,87578,6003988,87.3,7911794,4845052,4598261,246790,5.09,61.24,58.12
North Dakota,38,2016,495015,5231,134178,30672,78544,67554,107578,28550,5718,4477,457271,92.38,581106,411872,399099,12773,3.1,70.88,68.68
Ohio,39,2016,7922061,127071,2639028,530452,1100077,682507,1362205,598321,130456,88699,7131745,90.02,9158368,5755684,5464300,291384,5.06,62.85,59.66
Oklahoma,40,2016,2571636,42343,802529,186546,417280,203590,432922,157183,35356,23204,2258610,87.83,2990341,1827953,1742989,84963,4.65,61.13,58.29
Oregon,41,2016,2857952,49224,655893,235544,509988,244515,572508,247973,66154,47895,2580470,90.29,3279335,2042641,1945675,96966,4.75,62.29,59.33
Pennsylvania,42,2016,8921975,135486,3132444,480857,950374,730217,1676971,765331,175633,129802,8041629,90.13,10232466,6459696,6114930,344766,5.34,63.13,59.76
Rhode Island,44,2016,734045,9655,204045,42281,93088,60183,151195,70435,17015,11620,649862,88.53,858159,553420,524506,28915,5.22,64.49,61.12
South Carolina,45,2016,3388476,59098,981669,206995,506103,317549,591086,242201,53013,36206,2934822,86.61,3888005,2286257,2174081,112177,4.91,58.8,55.92
South Dakota,46,2016,565894,6936,163910,36532,87087,65093,111002,35829,9174,7256,515883,91.16,654760,455103,441365,13738,3.02,69.51,67.41
Tennessee,47,2016,4527198,74201,1465937,291978,667520,328595,756055,303704,73385,49711,3936885,86.96,5213936,3136742,2987420,149322,4.76,60.16,57.3
Texas,48,2016,17775280,295075,4474711,1073287,2796013,1259574,3362678,1281070,295098,196841,14739272,82.92,20905007,13348141,12727662,620479,4.65,63.85,60.88
Vermont,50,2016,439563,4466,128767,22489,53383,40499,92871,46671,12297,8016,404993,92.14,515410,345856,335022,10834,3.13,67.1,65.0
Utah,49,2016,1783244,30794,404605,145106,327002,178193,381130,140249,33569,25987,1635841,91.73,2193627,1500218,1449932,50286,3.35,68.39,66.1
Virginia,51,2016,5721173,85241,1372836,347347,769322,438669,1241751,695229,142532,99173,5106859,89.26,6543548,4254961,4085049,169912,3.99,65.03,62.43
Washington,53,2016,4996555,80653,1111786,374392,804380,491450,1098509,472318,109063,75820,4537718,90.82,5731878,3649333,3459287,190046,5.21,63.67,60.35
West Virginia,54,2016,1291757,16215,512228,74822,158855,95794,162243,78802,16651,11061,1110456,85.96,1474040,785059,737158,47901,6.1,53.26,50.01
Wisconsin,55,2016,3933329,60205,1222607,272788,539603,420412,758503,288536,69338,43798,3615585,91.92,4566315,3110443,2988621,121822,3.92,68.12,65.45
Wyoming,56,2016,390794,4579,114624,30127,67834,45601,67845,26068,6551,5453,364103,93.17,450992,300464,284450,16015,5.33,66.62,63.07
Alabama,1,2016,3300713,63739,1011236,201485,509746,271030,506680,226164,48931,33747,2809019,85.1,3816953,2155751,2028929,126822,5.88,56.48,53.16
Alaska,2,2016,478951,5272,133928,34525,95125,40819,90861,36182,8730,5804,445974,93.11,546589,362097,338219,23879,6.59,66.25,61.88
Arizona,4,2016,4626409,92377,1105497,344919,834817,390843,835779,359075,84523,56517,4011970,86.72,5384442,3253954,3075608,178346,5.48,60.43,57.12
Arkansas,5,2016,1990448,31398,681969,135748,313961,133315,282608,118134,26203,18888,1710826,85.95,2312068,1344031,1290425,53606,3.99,58.13,55.81
California,6,2016,26304241,682268,5390935,1494632,4107766,2031775,5426164,2203376,622302,408628,21685578,82.44,30568839,19013906,17965091,1048816,5.52,62.2,58.77
Colorado,8,2016,3745506,51770,822144,218245,569121,322529,934273,409712,87779,61117,3424920,91.44,4322568,2893958,2803217,90742,3.14,66.95,64.85
Delaware,10,2016,662547,11426,212474,44010,78172,52228,121717,58672,12881,11799,591953,89.35,754335,468969,447725,21244,4.53,62.17,59.35
District of Columbia,11,2016,480158,5270,85248,16770,45436,14086,115097,98988,38236,20554,434415,90.47,565140,395268,370616,24653,6.24,69.94,65.58
Connecticut,9,2016,2467737,34185,678776,120316,294834,186288,541369,297488,74865,39866,2233802,90.52,2874830,1893437,1801259,92178,4.87,65.86,62.66
Florida,12,2016,14703671,308247,4249733,937204,2023944,1429121,2675907,1061264,307323,163962,12848458,87.38,16616129,9842512,9360141,482371,4.9,59.23,56.33
Georgia,13,2016,6785395,119663,1884080,372145,1022060,518208,1270275,560593,145085,90323,5862769,86.4,7885093,4921740,4653212,268528,5.46,62.42,59.01
Idaho,16,2016,1087265,17189,302866,91151,184334,104375,203363,65673,17642,13732,983136,90.42,1274370,813091,783240,29851,3.67,63.8,61.46
Hawaii,15,2016,990937,11536,277743,53877,158800,104261,211850,67803,21989,14951,911274,91.96,1093555,679237,659617,19620,2.89,62.11,60.32
Illinois,17,2016,8665219,147713,2250392,559821,1263305,682989,1813840,830129,188580,109736,7698792,88.85,10048210,6558589,6172217,386373,5.89,65.27,61.43
Indiana,18,2016,4392576,72019,1481882,291768,608445,374136,716293,301847,64188,42518,3881077,88.36,5148022,3332068,3186479,145589,4.37,64.73,61.9
Iowa,19,2016,2087020,26836,649532,150902,287271,234055,398242,135083,35270,24567,1914922,91.75,2442456,1703088,1641911,61177,3.59,69.73,67.22
Kansas,20,2016,1891936,27935,496294,147685,290658,157030,390861,170982,37627,21956,1713093,90.55,2213994,1491807,1431733,60074,4.03,67.38,64.67
Kentucky,21,2016,2995509,44325,968299,196649,443391,256369,419081,202997,51228,29035,2567049,85.7,3459892,2015974,1914500,101474,5.03,58.27,55.33
Louisiana,22,2016,3115020,55534,1059273,168026,486089,187288,473299,169554,56083,28970,2628582,84.38,3583947,2123909,1994884,129025,6.07,59.26,55.66
Maine,23,2016,966569,9699,318369,57718,130222,94984,181434,79538,18162,12004,892431,92.33,1094744,693938,667738,26200,3.78,63.39,60.99
Maryland,24,2016,4122508,65748,1046470,237805,541390,268485,860491,528502,128976,103160,3715279,90.12,4715122,3156153,3020666,135486,4.29,66.94,64.06
Massachusetts,25,2016,4727515,69020,1156496,222787,511845,363356,1124295,629351,140558,126142,4274830,90.42,5543887,3618192,3472462,145730,4.03,65.26,62.64
Michigan,26,2016,6760402,108196,1978343,516290,1081902,626128,1162737,547241,119229,80623,6112493,90.42,7917715,4849105,4606582,242523,5.0,61.24,58.18
Minnesota,27,2016,3725283,47228,937937,246325,550387,429762,860125,304937,78752,53170,3461395,92.92,4318608,3023731,2906933,116798,3.86,70.02,67.31
Mississippi,28,2017,1959341,41431,595611,115046,316139,198080,265220,117007,27568,18702,1653373,84.38,2284344,1272506,1205885,66620,5.24,55.71,52.79
Missouri,29,2017,4150275,63866,1277505,286651,626311,326430,743797,333121,74909,54012,3722736,89.7,4775175,3053261,2939140,114121,3.74,63.94,61.55
Montana,30,2017,723666,9065,203141,48038,122169,65772,157326,53533,13596,9362,672937,92.99,836658,528429,506828,21600,4.09,63.16,60.58
Nebraska,31,2017,1259254,15006,331081,94422,197001,128547,263330,95439,23353,16658,1149831,91.31,1473927,1023134,992697,30438,2.97,69.42,67.35
Nevada,32,2017,2063180,53635,592846,144751,373778,165508,340110,120878,34858,17434,1790163,86.77,2308537,1443972,1371842,72130,5.0,62.55,59.42
New Hampshire,33,2017,958005,13507,268564,59536,111475,97978,216750,104196,18725,14221,891445,93.05,1112624,758150,736900,21250,2.8,68.14,66.23
New Jersey,34,2017,6234538,104322,1696858,300563,714077,418148,1506899,712061,161480,96267,5606353,89.92,7269751,4614710,4405644,209066,4.53,63.48,60.6
New Mexico,35,2017,1391475,22093,370599,86940,246340,117531,211995,115804,25580,23121,1197910,86.09,1627137,948364,890878,57486,6.06,58.28,54.75
New York,36,2017,13821132,317890,3634065,637249,1496579,1218132,2794920,1592075,391553,201614,11966187,86.58,16176117,9838108,9381964,456144,4.64,60.82,58.0
North Carolina,37,2017,6991185,91849,1800555,427470,1060468,658224,1406739,571243,121058,91639,6137396,87.79,7932255,4866022,4646013,220009,4.52,61.34,58.57
North Dakota,38,2017,495904,5020,130900,30031,81275,66236,108045,30784,7948,5662,460881,92.94,587828,415743,404904,10839,2.61,70.73,68.88
Ohio,39,2017,7981885,131905,2661209,532897,1079921,698820,1381934,626841,134913,87662,7204197,90.26,9236379,5817219,5528373,288846,4.97,62.98,59.85
Oklahoma,40,2017,2586414,45290,804245,187202,416700,208717,437243,161597,35948,25748,2277400,88.05,2987388,1826473,1752874,73599,4.03,61.14,58.68
Oregon,41,2017,2901195,46258,673810,223542,507262,255783,609160,260431,63263,45563,2638814,90.96,3327673,2076316,1992021,84295,4.06,62.4,59.86
Pennsylvania,42,2017,8960842,126246,3134497,479282,937534,747997,1697397,800211,184166,135462,8116546,90.58,10357025,6483683,6160931,322752,4.98,62.6,59.49
Rhode Island,44,2017,736969,13233,220613,39926,84738,58876,149699,68812,14606,13407,650677,88.29,882242,568046,542435,25611,4.51,64.39,61.48
South Carolina,45,2017,3443851,65924,1016072,199848,498590,330153,607024,262659,53525,41132,3009003,87.37,3897645,2261727,2166759,94968,4.2,58.03,55.59
South Dakota,46,2017,574559,7124,176709,38089,88193,62204,109803,35691,10754,5490,526933,91.71,658460,455318,441431,13887,3.05,69.15,67.04
Tennessee,47,2017,4588453,66848,1488080,292456,661278,332593,790840,327029,78860,57433,4028569,87.8,5284932,3196432,3076846,119586,3.74,60.48,58.22
Texas,48,2017,18149346,313947,4552676,1093468,2838733,1323957,3510311,1371324,290221,199633,15180323,83.64,21135080,13473313,12887242,586072,4.35,63.75,60.98
Vermont,50,2017,439267,5252,127426,24114,49781,37360,98774,48963,11366,9063,406847,92.62,527814,355333,344641,10693,3.01,67.32,65.3
Utah,49,2017,1827035,30160,408078,138241,331740,172999,416804,157207,33505,24926,1683500,92.14,2260156,1554194,1505205,48988,3.15,68.76,66.6
Virginia,51,2017,5779221,79278,1396487,342500,753431,456210,1270190,712006,145034,109986,5185844,89.73,6624960,4352493,4193034,159460,3.66,65.7,63.29
Washington,53,2017,5101968,80463,1128284,376181,827434,514987,1130392,492107,112889,75731,4658005,91.3,5851092,3727011,3554230,172782,4.64,63.7,60.74
West Virginia,54,2017,1279350,15923,526652,75084,163403,90494,156378,77079,15623,9376,1114089,87.08,1467310,784636,743723,40913,5.21,53.47,50.69
Wisconsin,55,2017,3958231,59759,1214914,258668,546824,433324,782676,301195,70544,48115,3656260,92.37,4617621,3141440,3039304,102137,3.25,68.03,65.82
Wyoming,56,2017,387700,5455,114739,29457,68714,40340,67312,30847,5754,3184,360347,92.94,445796,293841,281120,12722,4.33,65.91,63.06
Alabama,1,2017,3309607,63271,1029982,194458,514642,278878,528019,228314,51819,36552,2862664,86.5,3889272,2203380,2103740,99639,4.52,56.65,54.09
Alaska,2,2017,481561,6197,133132,36507,90478,42724,86444,37005,10673,4562,441525,91.69,546466,360543,337081,23462,6.51,65.98,61.68
Arizona,4,2017,4711362,98649,1136493,351294,827515,408070,863062,373079,90457,56494,4106464,87.16,5341967,3239838,3079253,160586,4.96,60.65,57.64
Arkansas,5,2017,2008398,34013,683285,133435,310500,143522,301294,116823,30772,21225,1740856,86.68,2312545,1348012,1297741,50270,3.73,58.29,56.12
California,6,2017,26679273,692952,5541182,1489912,4151969,2070661,5616449,2286009,649019,424770,22229971,83.32,30804622,19183598,18255625,927973,4.84,62.28,59.26
Colorado,8,2017,3822068,56034,815595,229050,569781,313309,994894,421760,91918,66125,3502432,91.64,4376946,2963079,2885497,77582,2.62,67.7,65.92
Delaware,10,2017,673686,9273,218309,36066,91900,51777,121442,65823,12528,12290,610135,90.57,764025,475183,453936,21247,4.47,62.19,59.41
District of Columbia,11,2017,494614,6720,85033,17444,44565,15722,118172,103144,39893,22310,446283,90.23,558148,393279,369329,23950,6.09,70.46,66.17
Connecticut,9,2017,2493854,38616,676911,131870,279984,201193,533791,311043,76815,42958,2254565,90.4,2901376,1923286,1838399,84887,4.41,66.29,63.36
Florida,12,2017,15020177,315382,4330040,927715,2054563,1507434,2839500,1127371,315744,171877,13274244,88.38,16818376,9972129,9543835,428294,4.29,59.29,56.75
Georgia,13,2017,6896026,120702,1936501,373094,1020953,540564,1311611,585455,147724,86688,6002590,87.04,7995544,5107745,4864452,243293,4.76,63.88,60.84
Idaho,16,2017,1111788,19347,313029,93270,198587,107505,202800,66560,14146,14152,1010049,90.85,1314456,839588,812676,26912,3.21,63.87,61.83
Hawaii,15,2017,997744,14169,280494,56498,147954,106987,216993,77325,21497,12865,920613,92.27,1120898,695166,679832,15333,2.21,62.02,60.65
Illinois,17,2017,8707057,153212,2272174,557926,1236600,692672,1829903,857509,195094,115299,7757177,89.09,10141740,6561013,6236599,324414,4.94,64.69,61.49
Indiana,18,2017,4435317,71404,1450767,288975,607163,394092,753268,320548,65072,50570,3930455,88.62,5189801,3333030,3216405,116626,3.5,64.22,61.98
Iowa,19,2017,2093909,21336,639230,153863,286653,242738,406630,141796,32274,25120,1928304,92.09,2465307,1697560,1645629,51930,3.06,68.86,66.75
Kansas,20,2017,1904528,23994,490769,146845,285361,167548,403542,180331,35827,23042,1733265,91.01,2227730,1488316,1434401,53914,3.62,66.81,64.39
Kentucky,21,2017,3018953,43827,997060,193533,450737,241585,423916,213672,56806,29158,2606467,86.34,3489934,2052894,1954818,98076,4.78,58.82,56.01
Louisiana,22,2017,3120277,54316,1061526,173073,493925,185409,482439,178692,53635,27759,2656458,85.14,3586139,2107854,2000044,107810,5.11,58.78,55.77
Maine,23,2017,971740,10616,300716,59969,124447,100214,193860,84719,20094,12934,896953,92.3,1106282,703758,680082,23677,3.36,63.61,61.47
Maryland,24,2017,4167604,73237,1020828,243873,544935,285379,889090,534613,123599,105278,3747595,89.92,4799005,3243999,3114402,129597,3.99,67.6,64.9
Massachusetts,25,2017,4788573,67477,1163526,231470,511748,360700,1146586,653567,146185,132333,4346115,90.76,5654177,3724154,3582112,142042,3.81,65.87,63.35
Michigan,26,2017,6819310,108596,1969839,509987,1084038,649916,1201375,588250,119225,76714,6199344,90.91,7999550,4910725,4685342,225383,4.59,61.39,58.57
Minnesota,27,2017,3778416,47720,938908,252166,536822,426760,888880,330787,86812,55647,3516782,93.08,4379847,3070649,2963368,107281,3.49,70.11,67.66
Alabama,1,2018,3337464,61554,1026976,201877,520110,288285,536086,229484,50881,35586,2889285,86.57,3911655,2239818,2151843,87974,3.93,57.26,55.01
Alaska,2,2018,485353,4995,137293,37391,91859,39938,89635,38582,10849,7362,452909,93.32,545700,355482,334013,21469,6.04,65.14,61.21
Arizona,4,2018,4840304,109670,1159297,360418,847740,428422,898032,389350,88079,63032,4234370,87.48,5434496,3325752,3165767,159985,4.81,61.2,58.25
Arkansas,5,2018,2021939,33765,686867,133319,317349,154143,296422,125495,30069,19289,1762953,87.19,2321284,1343867,1294714,49154,3.66,57.89,55.78
California,6,2018,26815644,701583,5559362,1500321,4089325,2140543,5704852,2365794,654240,446190,22460627,83.76,30963179,19288540,18467259,821281,4.26,62.3,59.64
Colorado,8,2018,3900287,54591,812615,245372,570380,329255,1013989,444914,98977,67669,3583171,91.87,4451642,3054180,2961264,92916,3.04,68.61,66.52
Delaware,10,2018,679700,10610,225797,39185,80997,51648,124178,66391,10766,11657,610619,89.84,772932,480300,462435,17866,3.72,62.14,59.83
District of Columbia,11,2018,500176,5772,82900,17992,43538,13948,129782,109855,42734,19799,460548,92.08,561591,395422,372957,22465,5.68,70.41,66.41
Connecticut,9,2018,2493396,33942,669967,131873,282101,195971,544028,325902,75528,41772,2267142,90.93,2909955,1923504,1848858,74646,3.88,66.1,63.54
Florida,12,2018,15302125,339457,4387954,992488,2023211,1489510,2920459,1190545,354163,182063,13540393,88.49,17061122,10117492,9748189,369304,3.65,59.3,57.14
Georgia,13,2018,6978172,120528,1942122,386817,996327,562774,1362317,606345,156547,98824,6112073,87.59,8097261,5126366,4921634,204732,3.99,63.31,60.78
Idaho,16,2018,1143747,19502,318218,95336,196740,113323,213462,72465,16764,13571,1039879,90.92,1346386,862480,837708,24772,2.87,64.06,62.22
Hawaii,15,2018,995589,13375,266728,58960,145692,110557,218828,79475,21301,13969,915510,91.96,1124162,692268,675659,16610,2.4,61.58,60.1
Illinois,17,2018,8706376,158805,2269285,574145,1190629,704851,1833666,887459,206789,124770,7791594,89.49,10134812,6558156,6270608,287548,4.38,64.71,61.87
Indiana,18,2018,4467893,76656,1480040,308980,578149,397824,771811,325867,65283,48105,3976059,88.99,5224191,3393339,3277222,116116,3.42,64.95,62.73
Iowa,19,2018,2104792,23085,649269,153714,280623,247997,413442,133905,35684,27509,1942143,92.27,2474800,1711705,1667617,44088,2.58,69.17,67.38
Kansas,20,2018,1911426,28488,485753,151384,285148,170965,402368,179315,36989,27471,1739393,91.0,2233868,1493244,1443054,50190,3.36,66.85,64.6
Kentucky,21,2018,3039414,43245,990911,203891,427799,261964,442090,226181,53628,31886,2638350,86.8,3502248,2052808,1966073,86736,4.23,58.61,56.14
Louisiana,22,2018,3125733,52277,1071772,170595,479080,203074,496634,183295,49150,29574,2683174,85.84,3584904,2109533,2007607,101927,4.83,58.84,56.0
Maine,23,2018,983382,9069,309259,61554,138784,95274,197489,79762,19204,13595,914921,93.04,1112504,700864,678539,22325,3.19,63.0,60.99
Maryland,24,2018,4167339,71359,1009495,255053,524178,281787,911761,546260,133920,108754,3771208,90.49,4823675,3270551,3145990,124562,3.81,67.8,65.22
Massachusetts,25,2018,4832728,68702,1126183,236723,504821,366687,1178868,681633,150773,140736,4386424,90.76,5694039,3818341,3685597,132744,3.48,67.06,64.73
Michigan,26,2018,6869846,106882,1972855,526294,1068653,657727,1239251,590176,120783,81683,6257422,91.09,8029716,4944667,4738465,206202,4.17,61.58,59.01
Minnesota,27,2018,3809229,48375,921287,249936,541560,445513,920850,337189,86399,53690,3556424,93.36,4418073,3074843,2981974,92870,3.02,69.6,67.49
Wisconsin,55,2018,3992022,66161,1222475,264158,553492,438602,775533,299862,70906,51775,3676803,92.1,4643524,3123624,3030236,93388,2.99,67.27,65.26
Wyoming,56,2018,393136,6879,113351,34425,69379,44089,66449,28596,5523,5015,366827,93.31,445661,292595,280732,11862,4.05,65.65,62.99
Mississippi,28,2018,1977283,36244,589363,128440,311816,200375,284701,122992,31636,19365,1688688,85.4,2280313,1267800,1204966,62834,4.96,55.6,52.84
Missouri,29,2018,4182787,59105,1270247,313408,623861,341000,754906,351868,77529,51591,3784410,90.48,4791474,3048405,2949777,98628,3.24,63.62,61.56
Montana,30,2018,735761,6509,205496,56499,123885,71397,152448,57723,14939,8295,690682,93.87,845569,535059,515092,19967,3.73,63.28,60.92
Nebraska,31,2018,1266440,16521,326400,94598,188720,137646,269675,100126,23436,17493,1158094,91.44,1484120,1036416,1006100,30316,2.93,69.83,67.79
Nevada,32,2018,2096574,63353,581662,161243,381162,176618,339675,124305,36387,21467,1822519,86.93,2357842,1494686,1429196,65490,4.38,63.39,60.61
New Hampshire,33,2018,970748,12333,269202,57874,120353,99230,217282,104805,20170,15322,904238,93.15,1120839,770347,750128,20218,2.62,68.73,66.93
New Jersey,34,2018,6189243,106426,1629398,318012,700092,409253,1535321,707352,176756,105563,5581747,90.18,7311915,4604680,4420170,184510,4.01,62.98,60.45
New Mexico,35,2018,1416481,21811,370023,87087,247490,113481,221735,119066,24619,26292,1209793,85.41,1634623,944844,898236,46607,4.93,57.8,54.95
New York,36,2018,13672343,290489,3546789,634663,1448488,1193573,2846770,1618369,412115,214212,11914979,87.15,16217662,9824479,9421980,402499,4.1,60.58,58.1
North Carolina,37,2018,7102144,100363,1802360,436118,1060969,701016,1454678,585019,126564,100540,6267264,88.24,8032424,4912868,4715946,196922,4.01,61.16,58.71
North Dakota,38,2018,500779,6306,129495,31351,78100,74715,110664,26850,6960,4136,462271,92.31,589972,412055,402170,9885,2.4,69.84,68.17
Ohio,39,2018,8027035,123612,2625971,558156,1080163,690735,1431014,660793,142671,91132,7280635,90.7,9267912,5820731,5558712,262018,4.5,62.81,59.98
Oklahoma,40,2018,2607613,43505,816934,202655,411222,207381,434570,167497,41277,24817,2306353,88.45,2997373,1831062,1770820,60241,3.29,61.09,59.08
Oregon,41,2018,2952380,55273,655811,236970,507623,269508,621190,266350,65460,49543,2672455,90.52,3366596,2080455,1996722,83733,4.02,61.8,59.31
Pennsylvania,42,2018,8994627,128934,3113998,498757,933647,773645,1723226,808356,192203,138697,8182529,90.97,10388655,6509530,6221654,287875,4.42,62.66,59.89
Rhode Island,44,2018,740695,11502,210606,48185,85056,61601,147507,78052,16840,12262,660109,89.12,887694,572678,549520,23158,4.04,64.51,61.9
South Carolina,45,2018,3492355,62183,1043630,202018,499163,354718,627144,268230,54446,39515,3088864,88.45,3948448,2281634,2204743,76891,3.37,57.79,55.84
South Dakota,46,2018,582850,6151,180511,35843,80103,70838,117943,36966,10011,5478,537693,92.25,663384,459215,446372,12843,2.8,69.22,67.29
Tennessee,47,2018,4640823,78858,1477132,301224,674027,348066,801616,328826,86098,58885,4075874,87.83,5342696,3257684,3144142,113542,3.49,60.97,58.85
Texas,48,2018,18477097,325239,4627856,1136683,2812813,1334999,3627047,1438527,313592,221611,15513128,83.96,21443061,13712790,13176524,536266,3.91,63.95,61.45
Vermont,50,2018,445824,3959,127349,24420,54430,38133,103068,49452,10821,9248,416921,93.52,530176,355366,346563,8804,2.48,67.03,65.37
Utah,49,2018,1871902,32657,423407,148992,313168,191808,427561,160409,36599,27876,1729820,92.41,2312734,1584455,1538198,46257,2.92,68.51,66.51
Virginia,51,2018,5822007,86131,1398061,349941,741597,453566,1296041,731653,153341,109422,5233622,89.89,6670343,4358416,4227344,131072,3.01,65.34,63.38
